name,description,timestamp,operatingSystem.id,operatingSystem.displayName,cpuCount,memoryGb,disk.sizeGb,disk.speed,networkInfo.primaryNic.id,networkInfo.primaryNic.vlanId,networkInfo.primaryNic.privateIpv4,networkInfo.networkDomainId,sourceImageId,id,datacenterId
DemoServer12345,Delete anytime,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,05bfef95-db01-483a-9dd6-392213ce8d04,74265f96-52df-4ad0-af06-aa920048e8a8,10.2.8.11,2709df9f-d07e-4627-8042-e4cfa316a963,dc4f5eac-841c-4c51-8185-f15bfaaebf39,fa26588a-5332-47a0-a28a-760d812985a8,NA9
DMZ Test Server,Delete Anytime,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,037a922d-64d3-446e-8705-7da44d306869,83ed61eb-da31-4f88-bcf9-1671a6f72e1e,10.0.1.11,c6c2888b-3ad8-4b70-8a90-c9a93237588b,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,0551e18d-9b3b-4c4f-965c-85a512705cd9,NA12
PuppetClient-Ent,Puppet Enterprise client (node). {cost-code: wb4533},2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,25933372-61c2-4cb1-8c32-7f78f4bc7fa8,12a85848-d04d-4f89-a5df-9991d13edd01,10.0.0.9,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,a4a9e831-1d0d-4d55-a772-9f490e11955e,76a98350-98c7-4daf-b2b0-3685fda4847e,NA12
Windows-PuppetEnt-node,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,ddf07b10-026a-4546-9900-0f1690a8138e,12a85848-d04d-4f89-a5df-9991d13edd01,10.0.0.10,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,c375fa99-29ff-4458-8a71-449478166b64,NA12
PuppetServer+ClouderaManager,Enterprise edition 2015.2,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,8,NULL,NULL,f3080308-1d8e-46bf-9ce0-acc33880a8a6,12a85848-d04d-4f89-a5df-9991d13edd01,10.0.0.8,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,d71eee26-cbfa-4f5b-b7f8-52067f8787aa,745dc52a-d89f-4b96-ace6-549f4ddffb22,NA12
Windows 2012,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,dab6988e-07d8-4378-9b3a-5ad48d1fce8a,74c5d465-aaec-42bb-a484-9528e3551430,172.16.0.9,dfcdb573-c54f-445d-86cd-43bf913b37d3,8bc629a9-8d71-4b1b-8b26-acdc077edab1,1e9891e1-c1e2-4b9b-b575-51417bc580fb,NA9
Linux,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,d7234fa0-3bbe-42d0-b233-d7b35a418aae,74c5d465-aaec-42bb-a484-9528e3551430,172.16.0.10,dfcdb573-c54f-445d-86cd-43bf913b37d3,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,5650c789-62e2-4a4c-95de-6b70a527bfc2,NA9
DavidDemo01,,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,888a0db7-1fa4-4fc0-a1b9-95950c5e589e,e8adec48-49d3-4d3c-b082-d55e4b10dfb0,10.8.0.108,cac425da-a92e-4f1b-81b9-d250b617717c,dc4f5eac-841c-4c51-8185-f15bfaaebf39,e217700a-18d1-4441-8dd4-0e652779ace0,NA9
DavidDemo02,,2015-11-17T19:39:07.046Z,UBUNTU1264,UBUNTU12/64,2,4,NULL,NULL,49e35dda-6a7d-4481-b877-d172d6eb2c23,e8adec48-49d3-4d3c-b082-d55e4b10dfb0,10.8.0.109,cac425da-a92e-4f1b-81b9-d250b617717c,653afa6a-e47d-4483-8312-53618dc26666,3759de7d-e9c1-4291-8582-15800173bbda,NA9
DT-RH5-source,,2015-11-17T19:39:07.046Z,REDHAT564,REDHAT5/64,2,4,NULL,NULL,f5611449-d7cd-4364-8088-35713c229457,d2604aba-6f3c-4384-bfe6-0d86508ae06c,10.0.0.8,a48fd2f8-bb3c-4200-85ba-20d19421f199,6cca2576-c87b-4b2c-8a23-b5dcf5a4e35d,ab791a1c-b275-48ae-bbcf-e095905a79a3,NA9
DT-Admin,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,52c91155-13d1-4ff9-bb97-d48f77989a9b,3bb956f0-d5b8-4e2b-bd7c-e6709c6a2c8f,172.16.0.8,a48fd2f8-bb3c-4200-85ba-20d19421f199,8bc629a9-8d71-4b1b-8b26-acdc077edab1,a04227a7-5cff-4bf4-b35b-b9e77f639caf,NA9
DT-CentOS-target,,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,ac6a1913-6bcd-4619-99ce-9ac6ffc1d674,3bb956f0-d5b8-4e2b-bd7c-e6709c6a2c8f,172.16.0.9,a48fd2f8-bb3c-4200-85ba-20d19421f199,dc4f5eac-841c-4c51-8185-f15bfaaebf39,598b22c7-1e20-41ae-a9c7-0bc6e3d2adcc,NA9
CentOS-DT-source,,2015-11-17T19:39:07.046Z,CENTOS564,CENTOS5/64,2,4,NULL,NULL,9821e8d0-5e4e-469b-a805-9afe0a3e7549,d2604aba-6f3c-4384-bfe6-0d86508ae06c,10.0.0.9,a48fd2f8-bb3c-4200-85ba-20d19421f199,c8e8bbcb-f4ed-41d2-b4f9-37272baa7fca,6028cd4b-0200-41ee-bc8f-21227c4d4cb6,NA9
hdp_win01,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,4,8,NULL,NULL,71fe0f36-cc82-45b0-97f6-a62247fda0b2,bf128a09-097a-46db-966e-620aa3deb55d,10.192.11.9,b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,888efb5a-2d62-4de5-8136-c5a6479e3958,f813de9c-39d6-49cb-b0ec-89f5811c811b,NA9
